Time,Open,High,Low,Close
2026-07-27 08:00:00,4092.71,4099.25,4090.79,4095.87
2026-07-27 09:00:00,4095.77,4105.51,4088.61,4088.74
2026-07-27 10:00:00,4088.42,4096.66,4086.59,4094.83
2026-07-27 11:00:00,4094.74,4100.18,4089.96,4096.28
2026-07-27 12:00:00,4096.18,4102.0,4085.87,4099.0
2026-07-27 13:00:00,4099.05,4104.08,4093.42,4094.03
2026-07-27 14:00:00,4093.63,4097.55,4081.39,4083.76
2026-07-27 15:00:00,4083.93,4089.49,4070.64,4074.23
2026-07-27 16:00:00,4074.47,4078.82,4065.41,4075.6
2026-07-27 17:00:00,4075.91,4079.56,4071.72,4078.44
2026-07-27 18:00:00,4078.61,4094.0,4077.37,4082.39
2026-07-27 19:00:00,4082.5,4082.5,4069.78,4075.78
2026-07-27 20:00:00,4075.91,4079.46,4072.59,4077.65
2026-07-27 21:00:00,4077.76,4089.31,4076.16,4083.42
2026-07-27 22:00:00,4083.55,4083.84,4075.29,4076.46
2026-07-28 00:00:00,4081.37,4081.76,4070.16,4074.27
2026-07-28 01:00:00,4074.06,4075.05,4069.0,4072.92
2026-07-28 02:00:00,4072.8,4073.98,4057.05,4057.15
2026-07-28 03:00:00,4057.07,4060.05,4041.95,4044.94
2026-07-28 04:00:00,4045.25,4049.08,4040.46,4042.1
2026-07-28 05:00:00,4042.16,4050.93,4039.54,4049.08
2026-07-28 06:00:00,4048.86,4049.82,4041.16,4042.35
2026-07-28 07:00:00,4041.94,4046.44,4034.37,4045.28
2026-07-28 08:00:00,4045.49,4052.06,4042.42,4047.88
2026-07-28 09:00:00,4047.86,4052.42,4045.58,4046.99
2026-07-28 10:00:00,4046.5,4055.29,4041.12,4044.92
2026-07-28 11:00:00,4045.4,4045.79,4019.01,4023.18
2026-07-28 12:00:00,4022.93,4028.49,4016.34,4026.4
2026-07-28 13:00:00,4026.51,4032.37,4022.19,4027.96
2026-07-28 14:00:00,4028.46,4038.0,4022.45,4029.54
2026-07-28 15:00:00,4029.52,4035.82,4019.63,4021.65
2026-07-28 16:00:00,4021.77,4032.86,4011.43,4024.17
2026-07-28 17:00:00,4024.68,4046.98,4021.58,4045.39
2026-07-28 18:00:00,4045.61,4046.51,4036.04,4037.61
2026-07-28 19:00:00,4037.76,4041.48,4025.29,4027.64
2026-07-28 20:00:00,4027.92,4030.11,4020.87,4023.05
2026-07-28 21:00:00,4023.1,4027.82,4021.25,4025.57
2026-07-28 22:00:00,4025.91,4030.05,4022.01,4027.73
2026-07-29 00:00:00,4027.11,4028.04,4013.26,4018.26
2026-07-29 01:00:00,4018.28,4026.21,4014.32,4024.54
2026-07-29 02:00:00,4024.66,4029.69,4017.11,4021.23
2026-07-29 03:00:00,4021.13,4030.48,4009.53,4025.12
2026-07-29 04:00:00,4024.58,4037.84,4022.57,4029.02
2026-07-29 05:00:00,4028.62,4032.87,4022.37,4022.72
2026-07-29 06:00:00,4022.73,4027.18,4019.96,4026.66
2026-07-29 07:00:00,4026.95,4040.12,4026.31,4032.62
2026-07-29 08:00:00,4032.61,4044.81,4032.61,4040.77
2026-07-29 09:00:00,4040.9,4047.85,4040.49,4043.45
2026-07-29 10:00:00,4043.43,4044.25,4034.63,4037.71
2026-07-29 11:00:00,4038.22,4038.53,4030.72,4032.16
2026-07-29 12:00:00,4032.05,4034.6,4025.33,4027.53
2026-07-29 13:00:00,4027.5,4035.91,4024.38,4032.32
2026-07-29 14:00:00,4032.35,4033.02,4008.44,4021.87
2026-07-29 15:00:00,4022.08,4026.5,4002.59,4007.21
2026-07-29 16:00:00,4007.22,4010.01,3995.38,4004.93
2026-07-29 17:00:00,4005.2,4013.8,4002.75,4009.83
2026-07-29 18:00:00,4010.11,4032.85,4006.89,4026.76
2026-07-29 19:00:00,4026.83,4050.73,4026.68,4042.74
2026-07-29 20:00:00,4043.59,4109.68,4042.04,4106.03
2026-07-29 21:00:00,4106.56,4116.15,4044.09,4044.65
2026-07-29 22:00:00,4045.27,4070.13,4042.35,4066.75
2026-07-30 00:00:00,4071.45,4090.6,4063.42,4088.56
2026-07-30 01:00:00,4087.79,4099.78,4083.66,4083.76
2026-07-30 02:00:00,4083.9,4086.37,4064.3,4072.27
2026-07-30 03:00:00,4072.26,4092.79,4070.8,4083.9
2026-07-30 04:00:00,4083.96,4090.07,4062.63,4063.04
2026-07-30 05:00:00,4063.01,4069.83,4050.12,4058.62
2026-07-30 06:00:00,4058.69,4060.2,4043.72,4045.57
2026-07-30 07:00:00,4045.62,4051.38,4027.89,4032.85
2026-07-30 08:00:00,4032.84,4040.26,4029.48,4036.4
2026-07-30 09:00:00,4036.03,4051.51,4034.69,4038.62
2026-07-30 10:00:00,4038.57,4072.83,4036.17,4060.73
2026-07-30 11:00:00,4061.23,4073.05,4059.98,4062.74
2026-07-30 12:00:00,4063.52,4083.04,4062.47,4077.47
2026-07-30 13:00:00,4077.22,4082.66,4075.26,4076.88
2026-07-30 14:00:00,4076.76,4086.71,4067.09,4068.54
2026-07-30 15:00:00,4068.29,4112.45,4064.49,4112.45
2026-07-30 16:00:00,4111.3,4120.48,4086.17,4100.09
2026-07-30 17:00:00,4099.9,4110.14,4082.25,4107.56
2026-07-30 18:00:00,4107.34,4119.33,4106.01,4110.73
2026-07-30 19:00:00,4110.78,4111.28,4097.57,4102.24
2026-07-30 20:00:00,4102.36,4107.26,4098.37,4099.72
2026-07-30 21:00:00,4099.45,4114.87,4098.06,4111.73
2026-07-30 22:00:00,4111.7,4117.54,4098.47,4103.3
2026-07-31 00:00:00,4105.12,4111.35,4101.98,4108.51
2026-07-31 01:00:00,4108.47,4111.91,4101.39,4105.5
2026-07-31 02:00:00,4105.66,4106.66,4090.26,4094.33
2026-07-31 03:00:00,4094.48,4101.55,4081.47,4084.11
2026-07-31 04:00:00,4084.14,4089.63,4073.21,4075.79
2026-07-31 05:00:00,4075.57,4079.39,4071.66,4074.48
2026-07-31 06:00:00,4074.47,4081.38,4073.43,4080.13
2026-07-31 07:00:00,4080.23,4083.22,4072.78,4073.55
2026-07-31 08:00:00,4073.87,4087.12,4072.03,4077.47
2026-07-31 09:00:00,4077.56,4079.29,4067.57,4067.62
2026-07-31 10:00:00,4067.57,4067.84,4053.79,4061.05
2026-07-31 11:00:00,4061.03,4064.0,4049.69,4054.19
2026-07-31 12:00:00,4054.04,4058.44,4051.47,4053.93
2026-07-31 13:00:00,4053.99,4061.14,4050.47,4053.73
2026-07-31 14:00:00,4053.92,4059.5,4040.39,4040.71
2026-07-31 15:00:00,4040.54,4046.72,4021.78,4024.67
2026-07-31 16:00:00,4023.82,4050.23,4020.57,4048.62
2026-07-31 17:00:00,4048.73,4052.35,4036.18,4045.53
2026-07-31 18:00:00,4045.62,4049.72,4040.56,4042.76
2026-07-31 19:00:00,4042.73,4054.82,4040.92,4053.6
2026-07-31 20:00:00,4053.74,4055.1,4046.82,4050.57
2026-07-31 21:00:00,4050.56,4055.08,4046.5,4051.0
2026-07-31 22:00:00,4050.89,4052.91,4034.32,4039.83
2026-08-03 00:00:00,4073.9,4079.88,4063.35,4063.64
2026-08-03 01:00:00,4063.78,4075.16,4062.7,4075.05
2026-08-03 02:00:00,4075.14,4079.31,4055.02,4056.78
2026-08-03 03:00:00,4056.93,4063.13,4046.58,4055.99
2026-08-03 04:00:00,4056.1,4066.87,4051.47,4061.49
2026-08-03 05:00:00,4061.35,4068.03,4058.39,4065.15
2026-08-03 06:00:00,4065.12,4071.63,4063.64,4063.96
2026-08-03 07:00:00,4063.89,4069.72,4053.63,4068.21
2026-08-03 08:00:00,4068.34,4071.99,4059.83,4063.88
2026-08-03 09:00:00,4063.17,4065.36,4052.21,4060.71
2026-08-03 10:00:00,4060.74,4061.93,4054.07,4059.27
2026-08-03 11:00:00,4059.18,4062.22,4045.98,4054.95
2026-08-03 12:00:00,4055.07,4056.8,4045.69,4049.42
2026-08-03 13:00:00,4049.29,4062.65,4045.56,4062.07
2026-08-03 14:00:00,4062.01,4064.64,4041.55,4047.61
2026-08-03 15:00:00,4047.64,4053.46,4018.92,4031.07
2026-08-03 16:00:00,4027.24,4038.67,4025.93,4035.77
2026-08-03 17:00:00,4035.89,4040.94,4029.84,4036.11
